"Sheet","Month","2021_Install_Quantity","2021_Output_kW"
"SGU - Hydro","Apr",0,0
"SGU - Hydro","Aug",0,0
"SGU - Hydro","Dec",0,0
"SGU - Hydro","Feb",1,6.3
"SGU - Hydro","Jan",1,6.3
"SGU - Hydro","Jul",0,0
"SGU - Hydro","Jun",0,0
"SGU - Hydro","Mar",19,46.705
"SGU - Hydro","May",0,0
"SGU - Hydro","Nov",0,0
"SGU - Hydro","Oct",0,0
"SGU - Hydro","Sep",0,0
"SGU - Solar","Apr",26585,207177.018
"SGU - Solar","Aug",28477,226446.61
"SGU - Solar","Dec",37079,334485.135
"SGU - Solar","Feb",28196,210583.428
"SGU - Solar","Jan",23496,169069.758
"SGU - Solar","Jul",33761,266760.223
"SGU - Solar","Jun",30207,250163.525
"SGU - Solar","Mar",31328,239371.767
"SGU - Solar","May",27952,220231.53
"SGU - Solar","Nov",38769,318272.327
"SGU - Solar","Oct",33024,266883.461
"SGU - Solar","Sep",31446,255261.121
"SGU - Wind","Apr",0,0
"SGU - Wind","Aug",0,0
"SGU - Wind","Dec",0,0
"SGU - Wind","Feb",0,0
"SGU - Wind","Jan",423,1468.25
"SGU - Wind","Jul",0,0
"SGU - Wind","Jun",0,0
"SGU - Wind","Mar",0,0
"SGU - Wind","May",0,0
"SGU - Wind","Nov",0,0
"SGU - Wind","Oct",0,0
"SGU - Wind","Sep",0,0
"SWH - ASHP","Apr",3021,3275
"SWH - ASHP","Aug",4368,4414
"SWH - ASHP","Dec",5745,365628
"SWH - ASHP","Feb",2143,2670
"SWH - ASHP","Jan",1793,2069
"SWH - ASHP","Jul",3318,4161
"SWH - ASHP","Jun",2865,2282
"SWH - ASHP","Mar",2914,3538
"SWH - ASHP","May",3564,3371
"SWH - ASHP","Nov",6197,6890
"SWH - ASHP","Oct",5782,6269
"SWH - ASHP","Sep",5165,5221
"SWH - Solar","Apr",3559,3813
"SWH - Solar","Aug",3242,3649
"SWH - Solar","Dec",2992,1035695
"SWH - Solar","Feb",3584,3629
"SWH - Solar","Jan",3147,3682
"SWH - Solar","Jul",2905,3761
"SWH - Solar","Jun",2888,2114
"SWH - Solar","Mar",3826,3986
"SWH - Solar","May",3628,3607
"SWH - Solar","Nov",3083,3469
"SWH - Solar","Oct",3801,3129
"SWH - Solar","Sep",3576,3729
